;Total;Boys;Girls;Tasa por 1.000 habitantes
2022 (p);56316;29148;27168;7,18
2021 (p);57634;29604;28030;7,44
2020;58464;29832;28632;7,55
2019;61548;31453;30095;8,01
2018;63566;32623;30943;8,37
2017;66803;34462;32341;8,87
2016;68974;35435;33539;9,22
2015;70450;36406;34044;9,47
2014;71589;37114;34475;9,63
2013;71591;36887;34704;9,60
2012;77438;39905;37533;10,33
2011;80861;41565;39296;10,76
2010;84015;43566;40449;11,23
2009;84849;44103;40746;11,41
2008;89024;45984;43040;12,10
2007;83716;43130;40586;11,59
2006;82077;42424;39653;11,61
2005;79547;41227;38320;11,49
2004;76687;39424;37263;11,34
2003;72980;37752;35228;11,01
2002;68315;35253;33062;10,54
2001;64722;33265;31457;10,23
2000;63489;32669;30820;10,22
1999;59359;30441;28918;9,63
1998;56572;29394;27178;9,22
1997;56701;29236;27465;9,27
1996;54602;28365;26237;8,94
1995;53809;27821;25988;8,82
1994;54424;27952;26472;8,92
1993;55745;28756;26989;9,14
1992;57178;29394;27784;9,39
1991;56162;29003;27159;9,23
1990;56464;29282;27182;9,30
;;;;
